tube_assembly_id,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8
TA-00001,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00002,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00003,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00004,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00005,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00006,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00007,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00008,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00009,C-1625,2,C-1632,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00010,C-1768,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00011,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00012,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00013,C-1259,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00014,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00015,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00016,C-1349,1,C-1934,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00017,C-1349,1,C-1933,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00018,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00020,C-1369,2,C-1374,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00021,C-1369,2,C-1374,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00022,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00023,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00024,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00025,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00026,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00027,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00028,C-1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00029,C-1420,1,C-1421,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00030,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00031,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00032,C-1818,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00033,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00034,C-1362,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00035,C-1420,1,C-1421,1,C-1850,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
