component_id,component_type_id,adaptor_angle,overall_length,end_form_id_1,connection_type_id_1,length_1,thread_size_1,thread_pitch_1,nominal_size_1,end_form_id_2,connection_type_id_2,length_2,thread_size_2,thread_pitch_2,nominal_size_2,hex_size,unique_feature,orientation,weight
C-0005,CP-028,NA,58.4,A-001,B-001,NA,1.312,12,NA,A-001,B-004,NA,1.000,11.5,NA,34.93,No,No,0.206
C-0006,CP-028,NA,34.8,A-001,B-001,NA,.437,20,NA,A-001,B-005,NA,.750,16,NA,22.2,No,No,0.083
C-1435,CP-028,NA,20.3,A-007,B-004,NA,NA,NA,15.88,A-001,B-007,NA,.875,18,NA,22.22,No,No,0.023
C-1546,CP-028,NA,26.4,A-007,B-004,NA,.125,27,NA,A-001,B-004,NA,.125,27,NA,15.88,No,No,0.026
C-1583,CP-028,NA,44.5,A-001,B-005,NA,1.312,12,NA,A-007,B-005,NA,1.062,12,NA,38.1,No,No,0.256
C-1634,CP-028,NA,34.5,A-001,B-005,NA,.750,16,NA,A-001,B-002,NA,.687,16,NA,22.23,No,No,0.06
C-1975,CP-028,NA,13.2,A-007,B-007,NA,NA,NA,3.18,A-001,B-007,NA,.312,28,NA,NA,No,No,0.005
C-0428,CP-028,NA,26.99,A-001,B-004,NA,.250,18,NA,A-007,NA,NA,NA,NA,9.52,17.46,No,No,0.032
C-0443,CP-028,NA,22.35,A-007,B-007,NA,NA,NA,19.05,9999,9999,NA,1.062,16,NA,26.97,No,No,NA
C-0823,CP-028,NA,16.8,A-007,B-007,NA,NA,NA,9.52,A-001,9999,NA,.625,18,9.52,15.75,No,No,0.014
C-0354,CP-028,NA,36.3,A-001,B-004,NA,1.250,11.5,NA,A-007,B-004,NA,1.000,11.5,NA,44.45,No,No,0.136
C-0361,CP-028,NA,41,A-005,NA,NA,NA,NA,6.35,A-006,B-002,NA,.562,18,NA,15.88,No,No,0.005
C-1312,CP-028,NA,14.2,A-002,B-007,NA,.437,24,NA,9999,9999,NA,NA,NA,NA,11.11,No,No,0.009
C-1313,CP-028,NA,15.7,A-007,B-007,NA,NA,NA,7.94,A-001,B-007,NA,.500,20,NA,12.57,No,No,0.01
C-1194,CP-028,NA,15,A-007,B-004,NA,.125,27,NA,A-007,B-004,NA,.125,27,NA,NA,No,No,0.014
C-1195,CP-028,NA,30,A-007,B-004,NA,.250,18,NA,A-007,B-004,NA,.250,18,NA,NA,Yes,No,0.031
C-1196,CP-028,NA,40,A-007,B-004,NA,.500,14,NA,A-007,B-004,NA,.500,14,NA,NA,No,No,0.095
C-1197,CP-028,NA,41,A-007,B-004,NA,.750,14,NA,A-007,B-004,NA,.750,14,NA,NA,No,No,0.091
C-1198,CP-028,NA,51,A-007,B-004,NA,1.000,11.5,NA,A-007,B-004,NA,1.000,11.5,NA,NA,No,No,0.181
C-1229,CP-028,NA,18.8,A-007,B-004,NA,NA,NA,12.70,A-001,B-007,NA,.750,18,NA,18.92,No,No,0.009
C-1230,CP-028,NA,14.2,A-007,B-007,NA,NA,NA,4.76,A-001,B-005,NA,.375,24,NA,9.4,No,No,0.009
C-1695,CP-028,NA,30,A-001,B-006,NA,.750,16,NA,A-007,9999,NA,9999,9999,NA,25.4,No,No,NA
C-1812,CP-028,NA,35.1,A-007,B-004,NA,.375,18,NA,A-007,B-004,NA,.375,18,NA,NA,No,No,0.091
C-1828,CP-028,NA,28.4,A-001,B-005,NA,1.312,12,NA,A-007,B-005,NA,.562,18,NA,38.1,No,No,0.181
C-1868,CP-029,90,NA,A-001,B-005,65.5,.750,16,NA,A-001,B-002,28,.812,16,NA,NA,No,Yes,0.226
