component_id,component_type_id,type,connection_type_id,outside_shape,base_type,height_over_tube,bolt_pattern_long,bolt_pattern_wide,groove,base_diameter,shoulder_diameter,unique_feature,orientation,weight
C-0008,CP-018,Boss,B-005,Round,Flat Bottom,17,NA,NA,No,22,NA,Yes,Yes,0.032
C-0009,CP-018,Boss,B-004,Round,Flat Bottom,13,NA,NA,No,25,NA,No,Yes,0.033
C-0020,CP-018,Boss,B-005,Round,Saddle,28.4,NA,NA,No,35,NA,Yes,Yes,0.07
C-0054,CP-018,Boss,B-005,Round,Saddle,27.1,NA,NA,No,NA,NA,Yes,Yes,0.18
C-0071,CP-018,Boss,B-005,Round,Shoulder,20,NA,NA,No,30,23,Yes,Yes,0.08
C-0082,CP-018,Boss,B-002,Round,Saddle,15.65,NA,NA,No,NA,NA,Yes,Yes,0.043
C-0083,CP-019,NA,B-012,NA,NA,36.5,77.8,42.9,No,NA,NA,No,Yes,2.093
C-0084,CP-019,NA,B-012,NA,NA,36.5,88.9,50.8,No,NA,NA,No,Yes,2.601
C-0111,CP-018,Boss,B-009,Round,Shoulder,19,NA,NA,No,35,30,Yes,Yes,0.1
C-0117,CP-018,Boss,B-005,Round,Saddle,22,NA,NA,No,25.4,NA,No,Yes,0.081
C-0151,CP-018,Boss,B-005,Round,Saddle,17.9,NA,NA,No,NA,NA,Yes,Yes,0.047
C-0161,CP-020,NA,9999,NA,NA,19.2,76.2,NA,No,NA,NA,No,Yes,0.559
C-0165,CP-018,Boss,B-005,Round,Shoulder,12,NA,NA,No,30,25,No,Yes,0.046
C-0177,CP-018,Boss,B-005,Round,Saddle,24,NA,NA,No,NA,NA,Yes,Yes,0.122
C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,NA,NA,No,33.33,23.9,Yes,Yes,0.1
C-0208,CP-018,Stud,B-002,Round,Saddle,15.75,NA,NA,No,NA,NA,No,Yes,0.023
C-0209,CP-018,Stud,B-002,Round,Saddle,15.75,NA,NA,No,NA,NA,No,Yes,0.022
C-0213,CP-018,Stud,B-002,Round,Saddle,22.35,NA,NA,No,NA,NA,No,Yes,0.159
C-0214,CP-018,Stud,B-002,Round,Saddle,19.05,NA,NA,No,NA,NA,No,Yes,0.059
C-0215,CP-018,Stud,B-002,Round,Saddle,17.53,NA,NA,No,NA,NA,No,Yes,0.033
C-0242,CP-018,Boss,B-005,Round,Flat Bottom,20,NA,NA,No,32,NA,Yes,Yes,0.08
C-0243,CP-019,NA,B-012,NA,NA,36,88.9,50.8,No,NA,NA,No,Yes,4.034
C-0245,CP-018,Boss,B-004,Round,Shoulder,20.5,NA,NA,No,26.9,20.6,Yes,Yes,0.1
C-0255,CP-018,Boss,B-005,Round,Saddle,25,NA,NA,No,NA,NA,Yes,Yes,0.127
C-0257,CP-019,NA,B-012,NA,NA,27.2,77.77,42.88,No,NA,NA,No,Yes,1.63
C-0258,CP-018,Boss,B-005,Round,Saddle,20.9,NA,NA,No,NA,NA,Yes,Yes,0.192
C-0260,CP-018,Boss,B-005,Round,Saddle,25.4,NA,NA,No,NA,NA,Yes,Yes,0.186
C-0262,CP-018,Boss,B-009,Round,Saddle,20.6,NA,NA,No,NA,NA,Yes,Yes,0.158
C-0269,CP-019,NA,B-012,NA,NA,10.55,120.7,69.9,No,NA,NA,No,Yes,3.361
C-0274,CP-018,Boss,B-005,Round,Saddle,39.33,NA,NA,No,40,NA,Yes,Yes,0.378
C-0278,CP-018,Stud,B-002,Round,Saddle,14.22,NA,NA,No,NA,NA,No,Yes,0.015
C-0307,CP-019,NA,B-013,NA,NA,9999,57.15,27.76,No,NA,NA,No,Yes,1.05
C-0348,CP-018,Boss,B-005,Round,Saddle,19.1,NA,NA,No,NA,NA,Yes,Yes,0.045
C-0356,CP-018,Boss,B-005,Round,Shoulder,8,NA,NA,No,35,30,Yes,Yes,0.12
