component_id,component_type_id,bolt_pattern_long,bolt_pattern_wide,extension_length,overall_length,thickness,drop_length,elbow_angle,mj_class_code,mj_plug_class_code,plug_diameter,groove,unique_feature,orientation,weight
C-0013,CP-008,152.4,92.08,105,185,113,75,90,NA,NA,NA,Yes,No,Yes,8.89
C-0016,CP-009,57.2,27.8,42,69,44,24,90,NA,NA,NA,No,No,Yes,1.172
C-0017,CP-009,57.2,27.8,42,69,47,26,90,NA,NA,NA,Yes,No,Yes,1.245
C-0018,CP-009,66.6,31.8,50,80,57,31.5,90,NA,NA,NA,Yes,No,Yes,1.863
C-0021,CP-010,75,NA,31.5,70,25,12.5,90,NA,NA,NA,No,Yes,Yes,0.903
C-0022,CP-010,39.41,NA,24,39,7,9,90,NA,NA,NA,Yes,Yes,Yes,0.103
C-0023,CP-008,52.4,26.2,20.4,58.5,61.3,44.4,125,NA,NA,NA,Yes,No,Yes,1.297
C-0028,CP-011,58.7,30.2,53.1,100,53,25.5,NA,MJ-003,MJ-005,NA,No,No,Yes,1.633
C-0042,CP-008,38.1,17.48,16.5,33,34,17.5,90,NA,NA,NA,Yes,No,Yes,0.357
C-0061,CP-010,38.07,NA,37,66.3,20.3,9.5,90,NA,NA,NA,Yes,Yes,Yes,0.2
C-0063,CP-010,44.45,NA,38.77,31,48,35,90,NA,NA,NA,Yes,Yes,Yes,0.227
C-0065,CP-009,47.63,22.23,35.5,56,34,18,90,NA,NA,NA,Yes,No,Yes,0.561
C-0066,CP-009,47.6,22.2,35.5,56,38,20.5,90,NA,NA,NA,Yes,No,Yes,0.614
C-0075,CP-011,52.4,26.2,50.1,78,46,22,NA,MJ-003,Threaded,NA,No,No,Yes,1.09
C-0076,CP-011,58.7,30.2,53.1,85.5,53,25.5,NA,MJ-003,Threaded,NA,No,No,Yes,1.494
C-0090,CP-011,52.4,26.2,50.1,94,46,22,NA,MJ-003,Threaded,NA,Yes,No,Yes,1.159
C-0094,CP-010,57.13,NA,41.5,65.5,35,22.3,90,NA,NA,NA,Yes,Yes,Yes,0.61
C-0104,CP-008,52.4,26.2,50,78.5,44,22,90,NA,NA,NA,No,No,Yes,1.496
C-0105,CP-008,66.68,31.75,70,100,80,51,90,NA,NA,NA,Yes,No,Yes,9.6
C-0106,CP-008,66.7,31.8,70,100,80,51,90,NA,NA,NA,No,No,Yes,9.6
C-0107,CP-008,50.8,23.8,40,70,19,28,90,NA,NA,NA,No,No,Yes,0.682
C-0140,CP-010,66.68,NA,30.12,54.12,10,17.17,90,NA,NA,NA,Yes,Yes,Yes,0.28
C-0143,CP-011,106.38,61.93,76.9,153,115,56.5,NA,MJ-003,MJ-006,NA,Yes,Yes,Yes,9.5
C-0152,CP-008,79.38,36.5,62.5,110,80,37,90,NA,NA,NA,No,Yes,Yes,4.987
C-0160,CP-009,50.8,23.8,39,63,36,18,90,NA,NA,NA,Yes,No,Yes,1.004
C-0163,CP-011,52.4,26.2,53.1,100,53,25.5,NA,MJ-003,MJ-005,NA,No,No,Yes,1.415
C-0169,CP-008,106.38,61.93,125,190.55,127.7,100,90,NA,NA,NA,Yes,No,Yes,9.805
C-0175,CP-011,58.7,30.2,53.1,84,53,25.5,NA,MJ-003,Threaded,NA,Yes,No,Yes,1.347
C-0187,CP-008,57.2,27.8,51,85,21,34,90,NA,NA,NA,No,No,Yes,1.17
