component_id,component_type_id,bolt_pattern_long,bolt_pattern_wide,thickness,orientation,weight
C-0027,CP-021,148,96,18,Yes,2.23
C-0454,CP-022,58.72,30.18,28,No,0.59
C-0455,CP-022,58.72,30.18,28,No,0.525
C-0494,CP-022,52.4,26.2,15.85,No,0.23
C-0496,CP-022,58.8,30.2,14.2,No,0.284
C-0508,CP-021,77.76,42.88,25.4,Yes,1.144
C-0572,CP-022,69.85,35.71,15.7,No,0.447
C-0797,CP-021,120.65,69.85,20,Yes,1.983
C-0891,CP-021,47.62,22.22,28,Yes,0.465
C-1096,CP-022,76.4,69.9,25,No,2.565
C-1102,CP-022,130.2,77.8,36.5,No,4.06
C-1135,CP-021,116,17,22,Yes,1.88
C-1149,CP-021,52.36,26.19,36,Yes,0.783
C-1452,CP-022,52.38,26.19,22,No,0.276
C-1453,CP-022,58.72,30.18,22,No,0.389
C-1584,CP-022,106.38,61.93,25.4,No,0.516
