component_id,part_name,weight
C-1385,NUT-FLARED,0.014
C-1386,SLEEVE-FLARED,0.005
C-1369,COLLAR,0.003
C-0422,WASHER-FUEL LIN,0.003
C-1817,FITTING-NUT,0.014
C-1374,NUT,0.023
C-1375,NUT,0.041
C-1439,NUT-FUEL LINE,0.045
C-1355,ADAPTER,0.033
C-0958,ADAPTER,0.095
C-0562,FLANGE,0.173
C-1850,ADAPTER-OIL LIN,0.219
C-0227,NUT,0.07
C-1425,FITTING,0.085
C-1476,NUT-A/C,0.032
C-1860,FITTING,0.18
C-0674,FLANGE,0.324
C-0751,FLANGE,0.68
C-0057,NUT,0.035
C-1960,ADAPTER-EXH PIP,0.227
C-1619,SEAL-O-RING-ORFS,0.001
C-1745,LINK,0.072
C-1838,HEAD-FLANGED,0.376
C-1554,NUT-INJ LINE,0.045
C-0962,FLANGE,0.55
C-0045,ADAPTER-OIL LIN,0.215
C-0092,FLANGE,0.09
C-1474,NUT-A/C,0.022
C-1672,WASHER-FUEL INJ,0.003
C-1481,ADAPTER-A/C,0.058
C-1359,LUG,0.025
C-0577,NUT-ORFS,0.157
C-1677,NUT-FUEL INJ,0.024
C-1595,BOLT,0.03
C-0365,FLANGE,0.125
C-1214,CAP-A/C,0.001
C-1216,VALVE AS.-A/C,0.005
C-0578,NUT-ORFS,0.025
C-0950,ADAPTER,0.306
C-0855,SLEEVE-CRIMP,0.002
C-0442,ADAPTER-O DRAIN,0.395
C-0617,FLANGE,0.17
C-0774,ADAPTER,0.062
C-1058,SLEEVE-ORFS,0.014
C-0552,FLANGE,0.177
C-1954,ADAPTER,0.068
C-0752,FLANGE,0.941
C-1898,STUD-WELD,0.022
C-0953,ADAPTER,0.144
C-0957,ADAPTER,0.127
C-1268,ADAPTER-STR,0.022
C-1477,NUT-A/C,NA
C-1398,COLLAR,0.56
C-1478,NUT-A/C,0.05
C-0993,FLANGE,0.499
C-0655,FLANGE,0.162
C-1403,WASHER-FUEL INJ,0.003
C-0844,PLATE,0.145
C-1533,NUT,0.014
C-0366,FLANGE,0.112
C-1502,ADAPTER,0.418
C-1756,NUT-FUEL INJ,0.025
C-1564,CAP AS-FILLER,0.197
C-1950,NUT-INJ LINE,0.045
C-1211,CONNECTOR,0.175
C-1874,NUT-WELD,0.016
C-1213,CAP-A/C,0.001
C-0139,FLANGE,1.548
C-1215,VALVE AS.-A/C,0.005
C-1379,NUT-FUEL INJ,0.025
C-1688,NUT-F INJ LINE,0.044
C-1491,FITTING,0.03
C-0377,VALVE CORE,0.064
C-1521,FLANGE,1.298
C-1402,FLANGE,1.2
C-0681,FLANGE,0.096
C-0675,FLANGE,0.323
C-0108,FLANGE,0.13
C-2046,SLEEVE,1.2
C-1550,ADAPTER-OIL LIN,0.236
C-0915,PIN,0.006
C-0581,NUT-ORFS,0.123
C-1080,ADAPTER-PIPE,0.592
C-1183,FLANGE,1.482
C-1668,ADAPTER,1.33
C-0424,NUT-WELD,0.009
C-0120,ADAPTER,0.029
C-0064,PLATE,0.952
C-0762,FLANGE,0.453
C-0710,FLANGE,1.303
C-0952,ADAPTER,0.213
C-0642,FLANGE,0.846
C-0939,FLANGE,0.77
C-0955,ELBOW-HYDRAULIC,0.623
C-1095,ELBOW,9.97
C-1109,FLANGE,0.873
C-1132,PLATE,0.036
C-1187,FLANGE,0.955
C-0863,FLANGE,2.178
C-1172,FLANGE,0.246
C-1248,BLOCK,0.018
C-0772,FLANGE,1.938
C-0441,ADAPTER-O LINE,NA
C-0130,FLANGE,0.49
C-1254,COLLAR,0.2
C-1356,CLIP,0.025
C-1497,BRACKET,0.103
C-1499,FLANGE,2
C-0368,ADAPTER,0.442
C-1483,ADAPTER-A/C,NA
C-1735,ADAPTER-OIL LIN,0.15
C-0249,PLATE,0.229
C-0314,ADAPTER,0.25
C-0378,VALVE BODY,0.094
C-1993,BOSS,0.221
C-0144,HASP AS,0.061
C-1859,HEAD-FLANGED,0.55
C-1232,LUG,0.032
C-0987,ELBOW,0.48
C-0989,BLOCK,4.073
C-0964,ADAPTER,0.065
C-0824,CAP-A/C,0.045
C-1037,FITTING,0.043
C-0923,HEAD-ADAPTER,0.102
C-1112,BOSS,0.146
C-1814,PLUG-CUP,0.001
C-0168,ADAPTER,0.418
C-0640,FLANGE,0.123
C-0656,FLANGE,0.068
C-0996,FLANGE,1.074
C-0225,NUT-FLARED,0.07
C-1567,CLIP,0.022
C-1217,ADAPTER-A/C,0.077
C-0085,BOSS-FITTING,0.079
C-0597,FLANGE,0.206
C-0248,PLATE,0.248
C-1978,COUPLING AS,0.03
C-1480,ADAPTER-A/C,0.059
C-1220,TEE,0.275
C-2045,ADAPTER-INLET,0.74
C-1548,FLANGE-CAPTIVE,0.363
C-0121,ADAPTER-O LINE,0.227
C-0859,FLANGE,1.782
C-0124,COUPLING AS-PERM,0.143
C-0347,CAP-A/C,0.002
C-0864,NIPPLE AS.-45,0.018
C-0890,BOSS,0.41
C-1669,LUG,0.002
C-0340,ELBOW,0.29
C-0636,ADAPTER,0.094
C-1406,HEAD-FLANGED,0.148
C-1511,WASHER,0.035
C-1832,DISC,0.146
C-0203,PLATE,0.295
C-0171,BOSS,0.234
C-0954,FLANGE,0.567
C-1013,FITTING-FLANGE,0.364
C-1097,FLANGE,0.594
C-0112,FLANGE,0.901
C-1141,ADAPTER-PIPE,0.41
C-1121,FLANGE,0.49
C-0031,WASHER,0.038
C-1019,VALVE BODY,0.005
C-0376,FLANGE,0.124
C-1676,TUBE AS-FUEL IN,NA
C-0783,FLANGE,1.303
C-0129,ELBOW-OIL INLET,NA
C-0011,NUT,0.012
C-1436,STUD-WELD,0.021
C-1311,RIVET,0.005
C-1871,FLANGE-ONE PIEC,1.34
C-1223,HOOK-S,0.008
C-0707,FLANGE,5.542
C-1512,CLEAT,0.163
C-0813,WASHER,0.001
C-1689,COLLAR,0.124
C-1382,NUT-FLARED,0.025
C-0717,FLANGE,0.34
C-1941,COLLAR-O-RING,0.035
C-0975,FLANGE,0.18
C-0194,FLANGE,4.1
C-0749,NUT-ORFS,0.106
C-0329,ELBOW,6.8
C-1751,PLATE,0.508
C-0815,CLAMP-INJ LINE,NA
C-0438,NUT-F INJ LINE,NA
C-0522,HOUSING-BELL,0.022
C-1490,BOSS,1
C-0196,FLANGE,5.7
C-0100,FLANGE,3.289
C-0795,FLANGE,0.68
C-1742,CLIP,0.045
C-0684,BUSHING,0.009
C-1844,SEAL-O-RING,0.001
C-0685,CAP AS,0.167
C-1981,BOSS,0.263
C-0473,PLATE,0.084
C-1914,BLOCK,0.567
C-0440,ADAPTER,1.134
C-0323,FLANGE,1.6
C-0239,REDUCER,0.852
C-1667,PLATE,0.072
C-0357,FLANGE,0.55
C-1791,COUPLING AS,0.081
C-0626,FLANGE,0.15
C-0593,FLANGE,0.372
C-1020,FLANGE,2.415
C-0982,ELBOW,0.577
C-1032,RING,0.489
C-1663,CONNECTOR-BHD,0.4
C-0288,NUT-WELD,0.007
C-0583,SLEEVE-REDUCING,0.101
C-1076,ELBOW-HYDRAULIC,3.4
C-1138,ADAPTER,0.639
C-2014,COUPLING,0.24
C-1083,BELLOW AS,1.693
C-1107,FLANGE,1.337
C-1937,NUT-WELD,0.004
C-1103,COVER,0.227
C-1152,ADAPTER,0.675
C-1120,FLANGE,0.925
C-1184,FLANGE,2.634
C-1205,NUT-FITTING,0.023
C-1098,BOSS,0.046
