component_id,component_type_id,connection_type_id,length,intended_nut_thread,intended_nut_pitch,unique_feature,plating,orientation,weight
C-0001,CP-024,B-001,17.3,1.062,12,No,No,No,0.013
C-0002,CP-024,B-001,11.2,.500,20,No,No,No,0.005
C-0003,CP-024,B-001,19.3,1.187,12,No,No,No,0.014
C-0048,CP-024,B-002,9.5,.562,18,No,No,No,0.006
C-0049,CP-024,B-002,9.5,.812,16,No,No,No,0.012
C-0050,CP-024,B-002,10.5,1.000,14,No,No,No,0.015
C-0051,CP-024,B-002,14,1.187,12,No,No,No,0.033
C-0052,CP-024,B-002,15.5,1.437,12,No,No,No,0.041
C-0053,CP-024,B-002,15.5,2.000,12,No,No,No,0.079
C-0058,CP-024,B-002,8.6,.687,16,No,No,No,0.006
C-0059,CP-024,B-002,10.5,1.000,14,No,No,No,0.015
C-0060,CP-024,B-002,12.5,2.000,12,No,No,No,0.042
C-0096,CP-024,B-002,8.5,.687,16,No,Yes,No,0.006
C-0101,CP-024,B-002,10.5,.812,16,No,Yes,No,0.01
C-0186,CP-024,B-002,15.5,1.437,12,No,No,No,0.024
C-0226,CP-024,B-001,12.7,.562,18,No,No,No,0.06
C-0228,CP-024,B-001,16.8,.875,14,No,No,No,0.06
C-0309,CP-024,B-001,16.8,.875,14,No,No,No,0.001
C-0391,CP-024,B-002,10.5,.812,16,No,No,No,0.009
C-0445,CP-024,B-001,19.8,1.312,12,No,No,No,0.02
C-0449,CP-024,B-001,14.2,.750,16,No,No,No,0.006
C-0830,CP-024,B-001,23.1,1.625,12,No,No,No,0.027
C-1035,CP-024,B-002,12,.812,16,Yes,No,No,0.017
C-1074,CP-024,B-001,13.08,.500,20,No,No,No,0.006
C-1244,CP-024,B-001,12.7,.562,18,No,No,No,0.005
C-1332,CP-024,B-002,16.5,.687,16,Yes,No,No,0.012
C-1420,CP-024,B-001,16.8,.875,14,No,No,No,0.009
C-1443,CP-024,B-001,28.4,1.875,12,No,No,No,0.09
C-1627,CP-024,B-002,9999,.562,18,Yes,No,No,0.005
C-1628,CP-024,B-002,9999,.687,16,Yes,No,No,0.006
C-1629,CP-024,B-002,9999,.812,16,Yes,No,No,0.012
C-1630,CP-024,B-002,9999,1.000,14,Yes,No,No,0.018
C-1631,CP-024,B-002,9999,1.187,12,Yes,No,No,0.026
C-1632,CP-024,B-002,9999,1.437,12,Yes,No,No,0.033
C-1633,CP-024,B-002,9999,1.687,12,Yes,No,No,0.04
C-1635,CP-024,B-002,17,1.437,12,Yes,No,No,0.025
C-1652,CP-024,B-002,17,1.437,12,Yes,No,No,0.045
C-1653,CP-024,B-002,15.5,1.437,12,Yes,No,No,0.03
C-1654,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.029
C-1655,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.025
C-1656,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.023
C-1657,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.02
C-1658,CP-024,B-002,13.5,1.000,14,Yes,No,No,0.021
C-1659,CP-024,B-002,13.5,1.000,14,Yes,No,No,0.019
C-1660,CP-024,B-002,12,.812,16,Yes,No,No,0.012
C-1661,CP-024,B-002,10.5,.687,16,Yes,No,No,0.005
C-1703,CP-024,B-002,20,1.437,12,No,No,No,0.059
C-1846,CP-024,B-001,10.4,.437,20,No,No,No,0.002
C-1866,CP-024,B-002,9999,2.000,12,Yes,No,No,0.035
C-2035,CP-024,B-002,9.5,.562,18,Yes,No,No,0.001
