component_id,component_type_id,adaptor_angle,overall_length,hex_size,end_form_id_1,connection_type_id_1,length_1,thread_size_1,thread_pitch_1,nominal_size_1,end_form_id_2,connection_type_id_2,length_2,thread_size_2,thread_pitch_2,nominal_size_2,end_form_id_3,connection_type_id_3,length_3,thread_size_3,thread_pitch_3,nominal_size_3,end_form_id_4,connection_type_id_4,length_4,thread_size_4,thread_pitch_4,nominal_size_4,unique_feature,orientation,weight
C-0007,CP-014,NA,24.4,12.7,A-001,B-001,NA,.437,20,NA,A-004,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.028
C-0030,CP-015,90,NA,NA,A-003,NA,47,NA,NA,42,A-003,NA,47,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.914
C-0041,CP-014,NA,28,32,A-004,NA,NA,NA,NA,21.7,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.12
C-0043,CP-014,NA,38,27,A-003,NA,NA,NA,NA,21.7,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.09
C-0044,CP-014,NA,30.5,41.28,A-004,NA,NA,NA,NA,34,A-001,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.182
C-0069,CP-015,90,NA,NA,A-001,B-002,29,.812,16,NA,A-004,NA,16,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.216
C-0070,CP-015,90,NA,NA,A-003,NA,30,NA,NA,21.7,A-001,B-002,27,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.178
C-0072,CP-015,90,NA,NA,A-003,NA,30,NA,NA,21.7,A-001,B-002,33.5,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.29
C-0073,CP-015,90,NA,NA,A-004,NA,21,NA,NA,22.22,A-001,B-002,35,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.537
C-0074,CP-014,NA,40.5,27,A-003,NA,NA,NA,NA,21.7,A-001,B-002,NA,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.134
C-0077,CP-014,NA,23,27.2,A-004,NA,NA,NA,NA,17.14,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.066
C-0078,CP-014,NA,32,27,A-005,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,17.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.07
C-0119,CP-015,90,NA,NA,A-001,B-003,44,.625,18,NA,A-004,NA,15,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.205
C-0133,CP-014,NA,70,NA,A-006,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,0.142
C-0159,CP-016,NA,NA,NA,A-003,NA,35.5,NA,NA,42.7,A-003,NA,35.5,NA,NA,34,A-001,B-002,42,1.437,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.667
