component_id,name,component_type_id
9999,OTHER,OTHER
C-0001,SLEEVE,CP-024
C-0002,SLEEVE,CP-024
C-0003,SLEEVE-FLARED,CP-024
C-0004,NUT,CP-026
C-0005,ADAPTER-STR,CP-028
C-0006,ADAPTER-STR,CP-028
C-0007,CONNECTOR-FLARE,CP-014
C-0008,BOSS,CP-018
C-0009,BOSS,CP-018
C-0010,NUT-FUEL TUBE,OTHER
C-0011,NUT,OTHER
C-0012,FLANGE,CP-001
C-0013,ELBOW,CP-008
C-0014,FLANGE,CP-001
C-0015,FLANGE,CP-001
C-0016,ELBOW,CP-009
C-0017,ELBOW,CP-009
C-0018,ELBOW,CP-009
C-0019,FLANGE-ONE PIECE,CP-002
C-0020,BOSS,CP-018
C-0021,HOUSING-OIL,CP-010
C-0022,HOUSING FUEL,CP-010
C-0023,BLOCK,CP-008
C-0024,BLOCK,OTHER
C-0025,TUBE-LUBRICATION,OTHER
C-0026,TUBE,OTHER
C-0027,FLANGE,CP-021
C-0028,ELBOW-HYDRAULIC,CP-011
C-0029,FLANGE,CP-001
C-0030,ELBOW,CP-015
C-0031,WASHER,OTHER
C-0032,TUBE,OTHER
C-0033,FLANGE,OTHER
C-0034,FLANGE,OTHER
C-0035,BOSS,CP-027
C-0036,FLANGE-BRAZE,CP-003
C-0037,LUG,OTHER
C-0038,FLANGE,CP-004
C-0039,TUBE,OTHER
C-0040,ADAPTER,OTHER
C-0041,CONNECTOR-ORFS,CP-014
C-0042,ELBOW,CP-008
C-0043,CONNECTOR-ORFS,CP-014
C-0044,CONNECTOR-ORFS,CP-014
C-0045,ADAPTER-OIL LIN,OTHER
C-0046,FLANGE-ONE PIEC,CP-005
C-0047,BAR,OTHER
C-0048,SLEEVE-BRAZE,CP-024
C-0049,SLEEVE-ORFS,CP-024
C-0050,SLEEVE-ORFS,CP-024
C-0051,SLEEVE-ORFS,CP-024
C-0052,SLEEVE-ORFS,CP-024
C-0053,SLEEVE-ORFS,CP-024
C-0054,BOSS,CP-018
C-0055,FITTING,OTHER
C-0056,FITTING,OTHER
C-0057,NUT,OTHER
C-0058,SLEEVE-90DEG,CP-024
C-0059,SLEEVE-90DEG,CP-024
