tube_assembly_id,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10
TA-00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00013,SP-0004,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00015,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00018,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00019,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00020,SP-0057,SP-0067,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00021,SP-0057,SP-0067,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00022,SP-0012,SP-0026,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA
TA-00023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00028,SP-0007,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00032,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00034,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00035,SP-0007,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
