tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00002,S-0066,2013-07-07,0,0,Yes,1,21.9059330191461
TA-00002,S-0066,2013-07-07,0,0,Yes,2,12.3412139792904
TA-00002,S-0066,2013-07-07,0,0,Yes,5,6.60182614356538
TA-00002,S-0066,2013-07-07,0,0,Yes,10,4.6877695119712
TA-00002,S-0066,2013-07-07,0,0,Yes,25,3.54156118026073
TA-00002,S-0066,2013-07-07,0,0,Yes,50,3.22440644770007
TA-00002,S-0066,2013-07-07,0,0,Yes,100,3.08252143576504
TA-00002,S-0066,2013-07-07,0,0,Yes,250,2.99905966403855
TA-00004,S-0066,2013-07-07,0,0,Yes,1,21.9727024365273
TA-00004,S-0066,2013-07-07,0,0,Yes,2,12.4079833966715
TA-00004,S-0066,2013-07-07,0,0,Yes,5,6.66859556094657
TA-00004,S-0066,2013-07-07,0,0,Yes,10,4.75453892935239
TA-00004,S-0066,2013-07-07,0,0,Yes,25,3.60833059764193
TA-00004,S-0066,2013-07-07,0,0,Yes,50,3.29117586508126
TA-00004,S-0066,2013-07-07,0,0,Yes,100,3.14929085314623
TA-00004,S-0066,2013-07-07,0,0,Yes,250,3.06582908141974
TA-00005,S-0066,2013-09-01,0,0,Yes,1,28.3742203279491
TA-00005,S-0066,2013-09-01,0,0,Yes,2,16.5143025656149
TA-00005,S-0066,2013-09-01,0,0,Yes,5,9.3977954964028
TA-00005,S-0066,2013-09-01,0,0,Yes,10,7.02748117937048
TA-00005,S-0066,2013-09-01,0,0,Yes,25,5.60306694190504
TA-00005,S-0066,2013-09-01,0,0,Yes,50,5.19410426044524
TA-00005,S-0066,2013-09-01,0,0,Yes,100,5.00770630358941
TA-00005,S-0066,2013-09-01,0,0,Yes,250,4.89642394128743
TA-00012,S-0066,2013-08-11,0,0,Yes,1,22.4150498266777
TA-00012,S-0066,2013-08-11,0,0,Yes,2,12.8503307868219
TA-00012,S-0066,2013-08-11,0,0,Yes,5,7.11372501015452
TA-00012,S-0066,2013-08-11,0,0,Yes,10,5.19966837856034
TA-00012,S-0066,2013-08-11,0,0,Yes,25,4.05067798779232
TA-00012,S-0066,2013-08-11,0,0,Yes,50,3.73630531428921
TA-00012,S-0066,2013-08-11,0,0,Yes,100,3.59442030235418
TA-00012,S-0066,2013-08-11,0,0,Yes,250,3.51095853062769
TA-00013,S-0026,1992-07-21,50,1,No,1,10.0042843709486
TA-00014,S-0066,2013-03-17,0,0,Yes,1,21.9949589089877
TA-00014,S-0066,2013-03-17,0,0,Yes,2,12.4302398691319
TA-00014,S-0066,2013-03-17,0,0,Yes,5,6.69085203340696
TA-00014,S-0066,2013-03-17,0,0,Yes,10,4.77957746087034
TA-00014,S-0066,2013-03-17,0,0,Yes,25,3.63058707010232
TA-00014,S-0066,2013-03-17,0,0,Yes,50,3.31621439659921
TA-00014,S-0066,2013-03-17,0,0,Yes,100,3.17432938466418
TA-00014,S-0066,2013-03-17,0,0,Yes,250,3.08808555388014
TA-00021,S-0030,2014-02-10,1,1,No,1,3.4330608770163
