tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other
TA-00001,SP-0035,12.7,1.65,164,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00002,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00003,SP-0019,6.35,0.71,127,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00004,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00005,SP-0029,19.05,1.24,109,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00006,SP-0029,19.05,1.24,79,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00007,SP-0035,12.7,1.65,202,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00008,SP-0039,6.35,0.71,174,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00009,SP-0029,25.4,1.65,135,4,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00010,SP-0046,42.7,4.8,290,4,110,N,N,N,N,EF-021,EF-021,0,0,0
TA-00011,SP-0039,6.35,0.71,197,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00012,SP-0039,6.35,0.71,207,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00013,SP-0028,38.1,1.65,106,3,76.2,N,N,N,N,NONE,NONE,1,0,0
TA-00014,SP-0029,12.7,0.89,96,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00015,SP-0035,12.7,0.89,147,6,25.4,N,N,N,N,EF-018,EF-018,0,0,0
TA-00016,SP-0029,25.4,1.65,99,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00017,SP-0029,25.4,1.65,92,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00018,SP-0028,25.4,1.65,81,3,63.5,N,N,N,N,EF-003,EF-009,0,0,0
TA-00019,SP-0028,50.8,2.11,84,2,127,N,Y,N,N,EF-005,EF-017,0,0,0
TA-00020,SP-0041,6.35,2.375,81,9,19.05,N,N,N,N,NONE,NONE,0,0,0
TA-00021,SP-0041,6.35,2.375,81,6,19.05,N,N,N,N,NONE,NONE,0,0,0
TA-00022,SP-0039,12.7,0.89,101,6,25.4,N,N,N,N,EF-008,EF-008,0,0,0
TA-00023,SP-0039,9.52,0.71,52,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00024,SP-0039,9.52,0.71,99,2,31.75,N,N,N,N,EF-008,EF-008,0,0,0
TA-00025,SP-0039,9.52,0.71,65,3,31.75,N,N,N,N,EF-008,EF-008,0,0,0
TA-00026,SP-0028,25.4,1.65,48,2,50.8,N,N,Y,Y,EF-009,EF-003,0,0,0
TA-00027,SP-0035,6.35,0.89,105,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00028,SP-0028,12.7,1.65,104,3,127,N,N,N,N,EF-003,NONE,1,0,0
TA-00029,SP-0035,15.88,1.24,94,2,50.8,N,N,N,N,EF-018,EF-017,0,0,0
TA-00030,SP-0028,9.52,0.89,85,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00031,SP-0028,9.52,0.89,52,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00032,SP-0028,12.7,0.89,55,2,76.2,N,N,N,N,NONE,NONE,0,0,0
TA-00033,SP-0039,9.52,0.71,89,4,31.75,N,N,N,N,EF-008,EF-008,0,0,0
TA-00034,SP-0028,25.4,1.65,55,2,50.8,N,N,N,N,EF-003,EF-009,0,0,0
TA-00035,SP-0035,15.88,1.24,101,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0
TA-00036,SP-0029,9.52,0.89,74,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00037,SP-0029,9.52,0.71,29,4,19.05,N,N,N,N,EF-008,EF-019,0,0,0
TA-00038,SP-0029,9.52,1.24,76,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00039,SP-0028,6.35,0.89,22,1,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00040,SP-0029,9.52,0.71,22,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00041,SP-0035,15.88,1.24,60,5,50.8,N,Y,N,N,EF-003,EF-018,0,0,0
TA-00042,SP-0035,15.88,1.24,109,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0
TA-00043,SP-0029,25.4,2.41,68,1,63.5,N,N,N,N,NONE,EF-003,0,0,0
TA-00044,SP-0029,12.7,1.65,36,3,38.1,N,N,N,N,NONE,NONE,0,0,0
TA-00045,SP-0035,7.94,0.89,8,2,25.4,N,N,N,N,EF-003,NONE,0,0,0
TA-00046,SP-0028,50.8,1.65,118,4,101.6,Y,Y,N,N,EF-023,NONE,1,0,0
TA-00047,SP-0035,12.7,1.24,130,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00048,SP-0028,25.4,1.65,70,2,50.8,N,N,N,N,EF-018,EF-018,0,0,0
TA-00049,SP-0028,25.4,1.65,36,3,50.8,N,Y,N,N,EF-018,EF-009,0,0,0
TA-00050,SP-0035,9.52,0.89,45,2,31.75,N,N,N,N,EF-018,EF-018,0,0,0
