MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103381,2015,Jesse Creek H.W.M.,Alabama,Bibb,Active,Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining,llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,62598,6,13713,11.0444886077
103246,2015,Bear Creek,Alabama,Franklin,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",,Appalachia Southern,25481,9,17641,10.1456883554
103451,2015,Knight Mine,Alabama,Franklin,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35242",,Appalachia Southern,121474,21,51729,11.7074555271
102933,2015,Mine No 2,Alabama,Jackson,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Alabama Carbon, Llc","5957 Windswept Blvd, Wise, VA 24293",,Appalachia Southern,3939,5,5287,8.27868216297
100627,2015,Flat Top Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Cedar Lake Mining, Inc","7802 Highway 78, Cordova, AL 35550",,Appalachia Southern,256521,37,103971,12.4549658116
100851,2015,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,1982503,339,870555,14.4998707457
101401,2015,No 7 Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,3035681,811,2001430,14.9259463395
103102,2015,Pratt No. 1 Mine,Alabama,Jefferson,Permanently abandoned,Underground,Independent Producer Operator,Mine only,"North Pratt Mining, Llc","P.O. Box 279, Pelham, AL 35124",,Appalachia Southern,49083,21,46420,10.8012680217
103180,2015,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,M S & R Equipment Company Inc,"7802 Highway 78, Cordova, AL 35550",,Appalachia Southern,243261,68,153593,12.40189022
103182,2015,Fishtrap,Alabama,Jefferson,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,"Centennial Natural Resources,","113 Hollis Crump Drive, Jasper, AL 35501",,Appalachia Southern,310466,67,176606,12.6458296736
103285,2015,Narley Mine,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"7802 Highway 78, Parrish, AL 35550",,Appalachia Southern,136303,40,91618,11.8226356277
103332,2015,Powhatan Mine,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Rac Mining Llc,"P.O. Box 354, Lynn, AL 35575",,Appalachia Southern,28062,9,15721,10.242171627
103375,2015,Johnson Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,Appalachia Southern,117761,19,44039,11.6764124258
103419,2015,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Alaco L.L.C.,"218 Highway 195, Jasper, AL 35503",,Appalachia Southern,147043,46,114406,11.89848034
103437,2015,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,263417,38,103058,12.4814936068
103422,2015,Clark No 1 Mine,Alabama,Shelby,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Jesse Creek Mining Llc,"1615 Kent Dairy Road, Alabaster, AL 35007",,Appalachia Southern,138401,89,266655,11.8379105476
103472,2015,Gurnee Surface Mine,Alabama,Shelby,Active,Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,138397,25,88175,11.8378816456
101247,2015,No 4 Mine,Alabama,Tuscaloosa,"Active, men working, not producing",Underground,Operating Subsidiary,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","14730 Lock 17 Road, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,2416556,552,1397523,14.697853944
103172,2015,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,Appalachia Southern,57751,28,64628,10.9638959443
103179,2015,Fleetwood Mine No 1,Alabama,Tuscaloosa,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,23919,16,18108,10.0824284012
103323,2015,Deerlick Mine,Alabama,Tuscaloosa,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490",,Appalachia Southern,3523,3,2419,8.16706817834
103364,2015,Brc Alabama No. 7 Llc,Alabama,Tuscaloosa,Temporarily closed,Surface,Independent Producer Operator,Mine and Preparation Plant,Brc Alabama No. 7 Llc,"P.O. Box 157, Brookwood, AL 35444",,Appalachia Southern,16818,17,20305,9.73020502039
100347,2015,Choctaw Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Cedar Lake Mining, Inc.","7802 Hwy 78, Cordova, AL 35550",United Mine Workers Of America,Appalachia Southern,251027,56,99666,12.433315782
101362,2015,Manchester Mine,Alabama,Walker,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,93366,23,43090,11.4442825322
102901,2015,Shoal Creek Mine,Alabama,Walker,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers Of America,Appalachia Southern,2043184,455,1032350,14.5300199334
103195,2015,Mccollum/Sparks Branch Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Quality Coal, Inc.","17405 Hwy 69 S, Jasper, AL 35501",,Appalachia Southern,51332,9,18015,10.8460696184
103337,2015,Gooden Creek,Alabama,Walker,Temporarily closed,Surface,Independent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242",,Appalachia Southern,150532,23,58932,11.9219309652
103342,2015,Reese's Branch Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Cedar Lake Mining, Inc","7802 Highway 78, Cordova, AL 35550",,Appalachia Southern,330643,60,150816,12.7087945225
103372,2015,Cane Creek Mine,Alabama,Walker,Temporarily closed,Surface,Independent Producer Operator,Mine only,Cane Creek Llc,"7802 Highway 78, Cordova, AL 35550",,Appalachia Southern,4372,2,1428,8.3829758493
103376,2015,Town Creek,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Centennial Natural Resources,","113 Hollis Crump Drive, Jasper, AL 35501",,Appalachia Southern,4746,5,7861,8.465057437
