entry_id,age,pay_schedule,home_owner,income,months_employed,years_employed,current_address_year,personal_account_m,personal_account_y,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,risk_score_4,risk_score_5,ext_quality_score,ext_quality_score_2,inquiries_last_month,e_signed
7629673,40,bi-weekly,1,3135,0,3,3,6,2,1,550,36200,0.7373983190000001,0.903517238,0.4877125,0.515976695,0.580918,0.380918,10,1
3560428,61,weekly,0,3180,0,6,3,2,7,1,600,30150,0.7385100840000001,0.881026665,0.713423437,0.826401956,0.73072,0.63072,9,0
6934997,23,weekly,0,1540,6,0,0,7,1,1,450,34550,0.6429932770000001,0.76655369,0.595017969,0.762283825,0.531712,0.531712,7,0
5682812,40,bi-weekly,0,5230,0,6,1,2,7,1,700,42150,0.665223529,0.960832286,0.767828125,0.778830826,0.792552,0.5925520000000001,8,1
5335819,33,semi-monthly,0,3590,0,5,2,2,8,1,1100,53850,0.617361345,0.857559706,0.613486719,0.6655234879999999,0.744634,0.744634,12,0
8492423,21,weekly,0,2303,0,5,8,2,7,1,600,74850,0.677109244,0.758765039,0.495609375,0.664761939,0.5925560000000001,0.4925560000000001,6,1
7948313,26,bi-weekly,0,2795,0,4,4,1,6,1,800,50800,0.738054622,0.873204345,0.666436719,0.700392155,0.58413,0.68413,14,1
4297036,43,bi-weekly,0,5000,0,2,1,1,2,1,1100,69100,0.798303361,0.841746723,0.401971094,0.568787109,0.5259050000000001,0.725905,5,1
6493191,32,semi-monthly,0,5260,3,0,3,1,4,1,1150,64050,0.6524285710000001,0.802433112,0.593815625,0.560388681,0.569459,0.369459,3,1
8908605,51,bi-weekly,1,3055,0,6,11,4,2,1,600,59750,0.624665546,0.968564823,0.50991875,0.7496241459999999,0.7586069999999999,0.7586069999999999,5,1
8990111,61,bi-weekly,1,3270,0,4,0,4,3,1,400,61700,0.659736134,0.937286766,0.852323438,0.7856976,0.632466,0.732466,7,0
3818616,34,weekly,0,3877,6,5,2,2,7,1,800,55550,0.802788235,0.900083049,0.7460765629999999,0.79131937,0.807174,0.507174,10,1
