id,event_type
18552,event_type 34
18552,event_type 35
18551,event_type 11
18550,event_type 11
18549,event_type 34
18549,event_type 20
18549,event_type 35
18548,event_type 34
18548,event_type 35
18547,event_type 34
18547,event_type 35
18546,event_type 44
18546,event_type 43
18546,event_type 42
18545,event_type 34
18545,event_type 35
18544,event_type 11
18543,event_type 11
18543,event_type 11
18542,event_type 34
18542,event_type 35
18541,event_type 11
18540,event_type 11
18539,event_type 20
18539,event_type 34
18539,event_type 35
18538,event_type 11
18537,event_type 35
18536,event_type 11
18536,event_type 15
18535,event_type 34
18535,event_type 35
18534,event_type 11
18533,event_type 11
18533,event_type 15
18532,event_type 35
18532,event_type 34
18531,event_type 34
18531,event_type 35
18530,event_type 11
18529,event_type 34
18529,event_type 35
18528,event_type 15
18527,event_type 34
18527,event_type 20
18527,event_type 35
18526,event_type 35
18526,event_type 34
18525,event_type 54
18525,event_type 15
18524,event_type 11
18524,event_type 15
18524,event_type 54
18523,event_type 34
18523,event_type 35
18522,event_type 11
18521,event_type 11
18521,event_type 13
18520,event_type 11
18519,event_type 54
18519,event_type 11
18518,event_type 20
18518,event_type 20
18517,event_type 23
18516,event_type 34
18516,event_type 35
18515,event_type 35
18515,event_type 11
18515,event_type 20
18515,event_type 34
18514,event_type 35
18514,event_type 34
18513,event_type 11
18513,event_type 11
18512,event_type 35
18512,event_type 34
18511,event_type 11
18511,event_type 13
18510,event_type 15
18509,event_type 11
18509,event_type 15
18508,event_type 11
18508,event_type 8
18507,event_type 35
18506,event_type 15
18505,event_type 34
18505,event_type 35
18504,event_type 34
18504,event_type 35
18503,event_type 34
18503,event_type 35
18502,event_type 15
18501,event_type 11
18501,event_type 13
18500,event_type 34
18499,event_type 11
18498,event_type 42
18498,event_type 44
18498,event_type 43
18497,event_type 15
18496,event_type 15
18495,event_type 11
18494,event_type 11
18493,event_type 11
18492,event_type 35
18492,event_type 34
18491,event_type 11
18490,event_type 15
18489,event_type 20
18488,event_type 35
18488,event_type 34
18487,event_type 35
18487,event_type 34
18486,event_type 11
18486,event_type 15
18485,event_type 20
18485,event_type 35
18485,event_type 34
18484,event_type 10
18483,event_type 11
18483,event_type 11
18482,event_type 22
18482,event_type 11
18481,event_type 35
18481,event_type 20
18480,event_type 35
18480,event_type 34
18479,event_type 11
18478,event_type 35
18478,event_type 34
18477,event_type 14
18477,event_type 11
18477,event_type 14
18477,event_type 11
18476,event_type 11
18475,event_type 24
18475,event_type 11
18474,event_type 15
18473,event_type 11
18472,event_type 34
18472,event_type 35
18471,event_type 11
18471,event_type 14
18471,event_type 13
18470,event_type 20
18470,event_type 46
18470,event_type 42
18470,event_type 47
18470,event_type 45
18470,event_type 44
18469,event_type 20
18468,event_type 34
18468,event_type 20
18468,event_type 35
18467,event_type 11
18466,event_type 11
18465,event_type 15
18464,event_type 34
18464,event_type 35
18463,event_type 20
18463,event_type 34
18462,event_type 11
18461,event_type 11
18460,event_type 11
18459,event_type 11
18459,event_type 11
18458,event_type 11
18458,event_type 15
18457,event_type 44
18457,event_type 43
18457,event_type 50
18457,event_type 42
18456,event_type 20
18455,event_type 34
18455,event_type 35
18454,event_type 44
18454,event_type 42
18453,event_type 20
18452,event_type 34
18452,event_type 35
18451,event_type 15
18451,event_type 11
18450,event_type 20
18449,event_type 35
18448,event_type 11
18448,event_type 15
18448,event_type 11
18448,event_type 15
18447,event_type 11
18447,event_type 15
18446,event_type 20
18445,event_type 20
18444,event_type 35
18444,event_type 34
18443,event_type 11
18443,event_type 15
18442,event_type 23
18442,event_type 23
18441,event_type 35
18441,event_type 34
18440,event_type 11
18439,event_type 11
18438,event_type 11
18438,event_type 23
18437,event_type 34
18437,event_type 35
18436,event_type 11
18435,event_type 35
18435,event_type 34
18434,event_type 15
18434,event_type 15
18433,event_type 11
18433,event_type 15
18432,event_type 13
18432,event_type 13
18431,event_type 34
18431,event_type 35
18430,event_type 35
18430,event_type 34
18429,event_type 15
18428,event_type 35
18428,event_type 34
18427,event_type 11
18427,event_type 23
18427,event_type 22
18426,event_type 35
18426,event_type 34
18425,event_type 15
18425,event_type 15
18424,event_type 15
18423,event_type 15
18423,event_type 11
18422,event_type 11
18421,event_type 34
18421,event_type 35
18420,event_type 35
18419,event_type 15
18418,event_type 35
18418,event_type 34
18417,event_type 15
18417,event_type 11
18416,event_type 13
