id,log_feature,volume
6597,feature 68,6
8011,feature 68,7
2597,feature 68,1
5022,feature 172,2
5022,feature 56,1
5022,feature 193,4
5022,feature 71,3
6852,feature 201,2
6852,feature 56,1
6852,feature 80,2
5611,feature 80,2
14838,feature 203,5
14838,feature 82,8
14838,feature 80,9
2588,feature 82,9
2588,feature 201,5
2588,feature 80,15
2588,feature 203,5
4848,feature 56,3
4848,feature 80,16
4848,feature 172,2
4848,feature 201,12
4848,feature 82,2
6914,feature 68,11
5337,feature 201,2
5337,feature 193,11
5337,feature 80,2
5337,feature 71,10
10460,feature 201,4
10460,feature 80,5
15494,feature 56,1
15494,feature 172,2
10289,feature 80,3
10289,feature 201,1
8587,feature 201,3
8587,feature 80,3
12943,feature 111,2
12943,feature 201,75
12943,feature 80,50
590,feature 80,3
590,feature 201,2
16416,feature 68,4
3399,feature 80,2
3399,feature 201,2
1505,feature 201,3
1505,feature 80,11
9446,feature 68,4
9446,feature 193,7
9446,feature 71,4
12482,feature 201,1
12482,feature 80,3
16538,feature 201,12
16538,feature 80,9
16538,feature 82,5
16538,feature 203,7
2250,feature 193,3
2250,feature 71,2
5259,feature 80,1
5259,feature 219,1
5259,feature 134,1
5259,feature 201,2
12751,feature 71,1
12751,feature 82,7
12751,feature 201,5
12751,feature 193,1
12751,feature 203,7
12751,feature 80,5
5195,feature 80,1
5195,feature 82,1
5195,feature 203,1
5195,feature 201,1
1233,feature 80,17
1233,feature 203,18
1233,feature 201,20
1233,feature 82,18
4703,feature 159,1
4703,feature 201,5
4703,feature 193,6
4703,feature 198,6
17508,feature 203,3
17508,feature 82,4
17508,feature 201,3
17508,feature 80,4
6008,feature 56,1
6008,feature 201,2
6008,feature 82,4
6008,feature 80,3
2906,feature 80,1
2906,feature 56,2
2906,feature 82,1
1247,feature 82,2
1247,feature 80,3
1247,feature 201,1
1247,feature 56,1
17909,feature 80,1
8148,feature 111,5
8148,feature 201,1
8148,feature 82,3
8148,feature 80,16
8148,feature 203,1
17595,feature 203,14
17595,feature 201,8
17595,feature 111,1
17595,feature 80,5
17595,feature 82,16
7515,feature 82,2
7515,feature 80,4
7515,feature 201,1
17041,feature 111,2
17041,feature 201,3
17041,feature 80,7
6692,feature 203,1
6692,feature 82,2
6692,feature 80,2
14595,feature 201,1
14595,feature 80,4
14595,feature 82,4
14595,feature 203,2
15952,feature 201,2
15952,feature 82,2
15952,feature 80,2
15952,feature 203,2
9664,feature 198,1
9664,feature 76,1
3952,feature 203,6
3952,feature 201,7
3952,feature 82,4
3952,feature 80,6
8461,feature 80,5
8461,feature 82,3
6743,feature 82,2
6743,feature 80,1
16097,feature 172,1
16097,feature 56,1
1235,feature 82,12
1235,feature 80,2
1235,feature 203,5
1235,feature 201,1
9317,feature 172,1
9317,feature 56,1
9317,feature 80,1
9651,feature 82,3
9651,feature 80,10
7832,feature 80,1
7832,feature 172,1
7832,feature 56,1
7832,feature 82,1
5280,feature 172,2
5280,feature 82,6
5280,feature 203,1
5280,feature 80,4
282,feature 80,3
282,feature 82,2
4574,feature 82,1
4574,feature 80,5
2043,feature 203,1
2043,feature 80,3
2043,feature 82,3
6693,feature 80,2
6693,feature 82,2
16479,feature 80,1
16479,feature 82,1
7466,feature 203,1
7466,feature 82,1
7466,feature 201,2
7466,feature 80,7
4814,feature 82,1
10842,feature 82,3
10842,feature 56,1
10039,feature 80,1
4337,feature 203,1
4337,feature 82,5
4787,feature 80,3
16586,feature 80,1
16586,feature 82,1
8796,feature 203,4
8796,feature 80,3
8796,feature 82,3
8796,feature 201,4
6954,feature 80,2
6954,feature 203,1
6954,feature 201,1
6954,feature 82,2
17648,feature 82,4
1849,feature 82,2
16949,feature 80,1
16949,feature 201,1
14593,feature 82,2
14593,feature 80,2
12587,feature 68,1
2240,feature 167,10
2240,feature 51,10
5356,feature 51,46
5356,feature 167,48
1285,feature 228,3
1285,feature 230,3
1285,feature 308,3
1285,feature 310,4
17155,feature 134,1
17155,feature 228,3
17155,feature 230,3
17155,feature 310,3
17155,feature 301,1
17155,feature 221,1
17155,feature 308,3
17155,feature 219,1
1308,feature 230,1
1308,feature 228,1
1308,feature 310,1
1308,feature 308,1
3251,feature 307,1
3251,feature 312,1
3251,feature 232,1
3251,feature 227,1
9313,feature 301,1
9313,feature 219,1
9313,feature 221,1
9313,feature 134,1
14926,feature 160,1
14926,feature 309,1
14926,feature 229,1
14926,feature 181,1
17407,feature 308,1
17407,feature 312,2
17407,feature 307,1
17407,feature 230,1
17407,feature 228,1
17407,feature 232,1
17407,feature 310,1
6395,feature 312,2
6395,feature 232,2
6395,feature 307,2
6395,feature 227,3
16600,feature 232,1
16600,feature 307,1
16600,feature 312,1
137,feature 232,2
137,feature 227,1
137,feature 312,1
17255,feature 312,2
17255,feature 232,2
17255,feature 307,1
8443,feature 312,1
8443,feature 227,1
8443,feature 307,1
8443,feature 308,1
8443,feature 232,1
8443,feature 309,1
8443,feature 229,1
8443,feature 228,1
9291,feature 312,3
9291,feature 307,1
9291,feature 227,1
9291,feature 232,3
1821,feature 312,3
1821,feature 307,1
1821,feature 232,2
13270,feature 314,2
13270,feature 307,1
13270,feature 313,1
13270,feature 234,1
13270,feature 312,1
13270,feature 309,1
18500,feature 227,1
18500,feature 232,1
8774,feature 312,1
8774,feature 307,1
1243,feature 307,1
1243,feature 312,2
1243,feature 232,1
6474,feature 232,1
6474,feature 312,1
15687,feature 234,1
15687,feature 314,1
16351,feature 312,2
16351,feature 227,2
16351,feature 232,1
16351,feature 307,1
5163,feature 232,1
5163,feature 307,1
5163,feature 312,2
5163,feature 227,1
12650,feature 312,1
7116,feature 312,1
7116,feature 232,1
7116,feature 227,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
2653,feature 307,2
2653,feature 312,2
3331,feature 232,1
3331,feature 312,3
3331,feature 307,2
3331,feature 227,1
3375,feature 307,2
3375,feature 232,5
3375,feature 312,5
3375,feature 227,3
16056,feature 309,1
16056,feature 312,2
16056,feature 307,1
16056,feature 229,1
14969,feature 232,2
14969,feature 307,14
14969,feature 312,1
14969,feature 227,15
12825,feature 232,7
12825,feature 227,5
12825,feature 312,8
12825,feature 307,7
6176,feature 232,9
6176,feature 312,8
15850,feature 232,13
15850,feature 227,3
15850,feature 307,2
15850,feature 312,13
10825,feature 227,11
10825,feature 307,4
16628,feature 232,29
16628,feature 227,2
16628,feature 312,27
16628,feature 307,19
3446,feature 232,2
3446,feature 227,11
3446,feature 307,14
8716,feature 219,1
14963,feature 68,1
12318,feature 84,1
12318,feature 167,1
12318,feature 51,1
18076,feature 134,1
18076,feature 167,1
18076,feature 84,1
18076,feature 51,1
18076,feature 205,1
18076,feature 219,1
11833,feature 134,1
11833,feature 219,1
402,feature 219,1
402,feature 134,2
1288,feature 219,1
1288,feature 134,1
16595,feature 134,2
16595,feature 219,2
18413,feature 219,1
18413,feature 134,1
9859,feature 134,2
9859,feature 219,1
2578,feature 134,1
2578,feature 219,1
1204,feature 134,2
1204,feature 219,2
4497,feature 134,1
4497,feature 219,1
37,feature 134,1
3629,feature 219,1
3629,feature 134,1
16795,feature 68,1
16106,feature 54,1
16106,feature 170,2
16106,feature 68,1
8185,feature 170,1
8185,feature 54,1
8235,feature 219,1
8235,feature 206,1
8235,feature 15,6
8235,feature 134,2
8235,feature 182,1
8235,feature 170,7
8235,feature 149,6
14315,feature 170,1
17756,feature 54,2
17756,feature 170,2
14562,feature 54,3
14562,feature 170,1
8930,feature 182,1
8930,feature 62,1
11231,feature 182,1
17812,feature 54,4
3112,feature 54,5
3112,feature 170,1
6253,feature 201,6
6253,feature 80,6
187,feature 80,3
10816,feature 201,2
10816,feature 80,5
2008,feature 201,5
2008,feature 80,7
10445,feature 201,2
258,feature 80,2
258,feature 201,5
15834,feature 201,1
15834,feature 80,2
12334,feature 201,11
12334,feature 80,11
9644,feature 201,3
9644,feature 80,3
14743,feature 80,4
14743,feature 201,5
6208,feature 201,10
6208,feature 80,6
6802,feature 80,2
14860,feature 80,2
14860,feature 201,1
14899,feature 201,1
14899,feature 80,3
581,feature 80,1
10985,feature 201,1
10985,feature 80,1
11010,feature 134,1
11010,feature 219,1
722,feature 201,2
722,feature 80,3
1747,feature 201,3
1747,feature 80,2
1349,feature 201,1
1349,feature 80,3
11444,feature 80,6
11444,feature 201,12
16517,feature 80,16
16517,feature 201,21
16202,feature 80,1
16202,feature 201,1
12511,feature 201,2
12511,feature 80,1
15171,feature 201,3
15171,feature 80,4
3879,feature 63,4
3879,feature 183,4
1863,feature 80,5
5142,feature 80,6
5142,feature 201,6
6796,feature 80,6
13838,feature 80,6
13838,feature 201,3
10913,feature 80,2
10913,feature 201,2
6880,feature 201,27
6880,feature 111,2
6880,feature 80,47
685,feature 111,3
685,feature 80,37
685,feature 201,52
10680,feature 2,1
10680,feature 80,5
10680,feature 137,1
10680,feature 201,10
13845,feature 82,2
17736,feature 203,2
17736,feature 82,2
10319,feature 80,1
10319,feature 201,2
10970,feature 201,1
10970,feature 80,1
13652,feature 80,3
10161,feature 80,1
725,feature 80,9
725,feature 201,3
5074,feature 80,4
5924,feature 80,2
10516,feature 183,1
6883,feature 201,1
6883,feature 80,3
5545,feature 201,2
5545,feature 80,7
14433,feature 82,51
14433,feature 203,7
18058,feature 172,1
18058,feature 82,24
18058,feature 203,15
18058,feature 56,1
5834,feature 80,2
5834,feature 201,1
4630,feature 384,2
4630,feature 203,2
4630,feature 71,4
4630,feature 82,4
4630,feature 193,3
4630,feature 299,2
17414,feature 80,1
17414,feature 203,6
17414,feature 82,21
6244,feature 203,1
6244,feature 80,9
6244,feature 201,2
6244,feature 82,16
3158,feature 82,23
3158,feature 203,10
16320,feature 203,6
16320,feature 82,12
3465,feature 82,36
3465,feature 203,28
13490,feature 82,8
13490,feature 203,6
4628,feature 71,3
4628,feature 193,3
4628,feature 203,6
4628,feature 82,6
4029,feature 203,9
4029,feature 82,15
4029,feature 80,1
15057,feature 82,40
15057,feature 203,4
13522,feature 203,4
13522,feature 82,10
5254,feature 82,4
5254,feature 201,4
5254,feature 203,4
5254,feature 80,3
14991,feature 80,12
14991,feature 82,18
14991,feature 203,4
14991,feature 201,4
2810,feature 82,8
2810,feature 203,2
5025,feature 82,8
5025,feature 203,4
5025,feature 193,1
5025,feature 71,1
14112,feature 71,3
14112,feature 203,4
14112,feature 193,2
14112,feature 82,10
5352,feature 82,8
5352,feature 203,9
7049,feature 80,4
7049,feature 82,14
7049,feature 201,3
7049,feature 203,10
17758,feature 384,1
17758,feature 299,1
17758,feature 82,2
11766,feature 203,23
11766,feature 201,5
11766,feature 82,26
11766,feature 80,4
1574,feature 203,3
1574,feature 201,2
1574,feature 80,2
1574,feature 82,10
7237,feature 82,10
7237,feature 203,8
10902,feature 82,8
10902,feature 203,6
9016,feature 203,18
9016,feature 82,20
13955,feature 80,6
13955,feature 203,23
13955,feature 82,55
13955,feature 201,5
11005,feature 201,2
11005,feature 80,1
11005,feature 82,26
11005,feature 203,7
16584,feature 203,20
16584,feature 80,2
16584,feature 82,52
16584,feature 201,2
8277,feature 82,22
8277,feature 203,14
15081,feature 82,16
15081,feature 203,13
15081,feature 80,3
15081,feature 201,5
18220,feature 203,19
18220,feature 80,2
18220,feature 201,2
18220,feature 82,27
4595,feature 203,3
4595,feature 82,4
1666,feature 82,1
7585,feature 203,1
7585,feature 82,6
4309,feature 71,1
16809,feature 82,12
16809,feature 203,3
2385,feature 203,4
2385,feature 82,2
16139,feature 82,18
16139,feature 203,10
7077,feature 203,4
7077,feature 82,10
7077,feature 80,3
11828,feature 82,27
11828,feature 203,5
2774,feature 203,3
2774,feature 82,5
11037,feature 80,2
11037,feature 201,2
11037,feature 82,4
11037,feature 203,4
11464,feature 82,6
11464,feature 201,2
11464,feature 80,2
11464,feature 203,4
15801,feature 82,24
15801,feature 203,16
15801,feature 80,3
12847,feature 82,11
12847,feature 203,7
4002,feature 80,11
4002,feature 201,12
4002,feature 82,17
4002,feature 203,11
11100,feature 82,15
11100,feature 203,7
10511,feature 203,29
10511,feature 82,66
14706,feature 219,1
14706,feature 203,6
14706,feature 134,1
14706,feature 82,6
462,feature 71,1
462,feature 80,5
462,feature 193,1
462,feature 82,13
462,feature 203,8
462,feature 201,4
7885,feature 299,3
7885,feature 71,9
7885,feature 82,6
7885,feature 203,2
7885,feature 193,15
7885,feature 384,4
12276,feature 80,2
12276,feature 201,2
12276,feature 82,8
12276,feature 203,5
12276,feature 71,1
10402,feature 203,32
10402,feature 82,66
10402,feature 80,13
10402,feature 201,11
3412,feature 203,10
3412,feature 82,16
6860,feature 203,2
6860,feature 82,4
11114,feature 203,2
11114,feature 82,2
9907,feature 80,1
9907,feature 201,1
9907,feature 82,2
4121,feature 201,1
4121,feature 82,18
4121,feature 80,2
4121,feature 203,6
10493,feature 80,21
10493,feature 82,6
10493,feature 201,21
10493,feature 203,3
11770,feature 82,25
11770,feature 203,5
11770,feature 80,5
11770,feature 201,5
965,feature 80,13
965,feature 201,16
965,feature 203,13
965,feature 82,14
18004,feature 82,4
5928,feature 203,4
5928,feature 201,3
5928,feature 82,6
5928,feature 80,4
7405,feature 193,1
7405,feature 82,33
7405,feature 385,1
7405,feature 201,2
7405,feature 80,4
7405,feature 203,9
6803,feature 82,6
6803,feature 80,1
8764,feature 203,5
8764,feature 82,16
7925,feature 82,63
7925,feature 203,3
7925,feature 201,1
7925,feature 80,3
12798,feature 82,18
11394,feature 68,2
11394,feature 80,1
11394,feature 82,36
11394,feature 203,16
17869,feature 82,10
17869,feature 203,3
10129,feature 82,2
10129,feature 80,1
13354,feature 203,14
13354,feature 82,32
16917,feature 80,1
16917,feature 82,1
17425,feature 201,7
17425,feature 80,10
17425,feature 203,10
17425,feature 82,48
18486,feature 80,8
18486,feature 82,8
18486,feature 201,2
18486,feature 203,2
6909,feature 203,18
6909,feature 82,22
12026,feature 80,2
12026,feature 82,2
16064,feature 82,8
16064,feature 203,4
11119,feature 82,12
11119,feature 203,4
8378,feature 82,11
8378,feature 80,7
8378,feature 201,6
894,feature 82,1
894,feature 80,6
6648,feature 80,3
372,feature 201,1
372,feature 82,2
372,feature 80,2
17066,feature 82,33
821,feature 80,1
821,feature 82,33
821,feature 203,1
608,feature 82,13
608,feature 203,2
608,feature 80,1
4535,feature 82,21
4535,feature 80,2
4640,feature 201,1
4640,feature 82,10
4640,feature 203,4
4640,feature 80,3
18296,feature 80,2
18296,feature 82,6
6904,feature 82,4
6904,feature 80,1
5059,feature 80,1
5059,feature 201,1
15102,feature 82,15
15102,feature 203,7
15102,feature 80,3
11286,feature 82,7
13438,feature 201,1
