id,resource_type
1,resource_type 8
1,resource_type 6
2,resource_type 2
3,resource_type 8
4,resource_type 2
5,resource_type 2
6,resource_type 2
7,resource_type 2
8,resource_type 2
8,1
9,resource_type 8
10,resource_type 8
11,resource_type 2
12,resource_type 2
13,resource_type 2
14,resource_type 9
15,resource_type 2
16,resource_type 8
17,resource_type 8
18,resource_type 2
19,resource_type 2
20,resource_type 8
20,resource_type 2
20,resource_type 3
21,resource_type 4
21,resource_type 8
21,resource_type 6
22,resource_type 2
23,resource_type 2
24,resource_type 2
25,resource_type 8
26,resource_type 2
27,resource_type 8
28,resource_type 8
29,resource_type 2
30,resource_type 2
31,resource_type 2
32,resource_type 2
33,resource_type 2
34,resource_type 3
34,resource_type 8
34,resource_type 2
35,resource_type 8
35,resource_type 8
36,resource_type 2
37,resource_type 2
38,resource_type 2
39,resource_type 8
40,resource_type 9
40,resource_type 3
40,resource_type 8
41,resource_type 2
42,resource_type 8
42,resource_type 6
43,resource_type 2
44,resource_type 2
45,resource_type 8
46,resource_type 2
47,resource_type 8
48,resource_type 8
49,resource_type 2
50,resource_type 4
50,resource_type 2
50,resource_type 7
50,resource_type 8
51,resource_type 8
51,resource_type 6
52,resource_type 2
53,resource_type 2
54,resource_type 2
55,resource_type 2
56,resource_type 2
57,resource_type 8
58,resource_type 7
58,resource_type 2
59,resource_type 8
60,resource_type 8
60,resource_type 8
61,resource_type 2
62,resource_type 2
63,resource_type 2
64,resource_type 8
64,resource_type 8
65,resource_type 8
65,resource_type 8
66,resource_type 8
67,resource_type 8
68,resource_type 8
69,resource_type 8
70,resource_type 8
71,resource_type 8
71,resource_type 8
72,resource_type 8
73,resource_type 2
74,resource_type 2
75,resource_type 2
76,resource_type 2
77,resource_type 8
78,resource_type 5
78,resource_type 8
79,resource_type 8
80,resource_type 8
81,resource_type 2
82,resource_type 8
83,resource_type 2
84,resource_type 8
84,resource_type 6
85,resource_type 8
86,resource_type 2
87,resource_type 8
88,resource_type 2
89,resource_type 2
90,resource_type 8
91,resource_type 8
91,resource_type 6
91,resource_type 8
91,resource_type 6
92,resource_type 8
93,resource_type 8
94,resource_type 8
95,resource_type 2
96,resource_type 8
97,resource_type 8
98,resource_type 2
99,resource_type 2
100,resource_type 8
101,resource_type 2
102,resource_type 2
103,resource_type 8
103,resource_type 2
104,resource_type 8
105,resource_type 2
106,resource_type 8
107,resource_type 2
108,resource_type 2
109,resource_type 2
110,resource_type 2
111,resource_type 2
112,resource_type 8
112,resource_type 8
113,resource_type 8
113,resource_type 8
114,resource_type 2
115,resource_type 2
116,resource_type 8
117,resource_type 8
118,resource_type 8
119,resource_type 8
120,resource_type 2
121,resource_type 2
122,resource_type 8
123,resource_type 8
123,resource_type 2
124,resource_type 2
125,resource_type 8
126,resource_type 2
127,resource_type 8
128,resource_type 2
129,resource_type 8
130,resource_type 8
131,resource_type 2
132,resource_type 8
133,resource_type 8
134,resource_type 2
135,resource_type 8
136,resource_type 2
137,resource_type 2
138,resource_type 8
139,resource_type 2
140,resource_type 8
141,resource_type 2
142,resource_type 8
143,resource_type 8
144,resource_type 2
145,resource_type 8
146,resource_type 2
147,resource_type 8
148,resource_type 2
149,resource_type 2
150,resource_type 10
150,resource_type 6
150,resource_type 8
151,resource_type 8
152,resource_type 2
153,resource_type 8
153,resource_type 8
154,resource_type 2
155,resource_type 2
156,resource_type 2
157,resource_type 8
158,resource_type 9
159,resource_type 8
160,resource_type 8
161,resource_type 2
162,resource_type 2
163,resource_type 8
164,resource_type 2
165,resource_type 8
165,resource_type 2
166,resource_type 2
167,resource_type 2
167,resource_type 8
168,resource_type 2
169,resource_type 8
170,resource_type 8
171,resource_type 2
172,resource_type 8
173,resource_type 2
174,resource_type 8
175,resource_type 8
176,resource_type 8
177,resource_type 2
178,resource_type 8
178,resource_type 8
179,resource_type 2
180,resource_type 2
181,resource_type 8
182,resource_type 8
183,resource_type 6
183,resource_type 8
184,resource_type 8
184,resource_type 8
185,resource_type 2
186,resource_type 8
187,resource_type 8
188,resource_type 2
189,resource_type 7
189,resource_type 8
190,resource_type 2
191,resource_type 2
191,resource_type 2
192,resource_type 8
193,resource_type 2
193,resource_type 2
194,resource_type 2
195,resource_type 2
196,resource_type 8
197,resource_type 2
198,resource_type 2
199,resource_type 2
200,resource_type 8
201,resource_type 2
202,resource_type 8
203,resource_type 8
204,resource_type 2
205,resource_type 2
206,resource_type 8
207,resource_type 2
208,resource_type 8
208,resource_type 10
209,resource_type 2
210,resource_type 9
210,resource_type 8
211,resource_type 8
212,resource_type 8
213,resource_type 2
214,resource_type 4
214,resource_type 8
214,resource_type 7
215,resource_type 8
215,resource_type 2
216,resource_type 8
217,resource_type 8
217,resource_type 6
218,resource_type 6
219,resource_type 8
220,resource_type 8
221,resource_type 8
222,resource_type 8
223,resource_type 8
224,resource_type 8
225,resource_type 8
226,resource_type 8
227,resource_type 8
228,resource_type 8
229,resource_type 8
229,resource_type 8
230,resource_type 2
231,resource_type 2
232,resource_type 2
233,resource_type 2
234,resource_type 6
235,resource_type 2
236,resource_type 2
237,resource_type 8
238,resource_type 8
239,resource_type 6
240,resource_type 2
241,resource_type 2
242,resource_type 8
243,resource_type 2
244,resource_type 2
245,resource_type 2
246,resource_type 8
247,resource_type 8
248,resource_type 2
249,resource_type 2
250,resource_type 7
250,resource_type 6
250,resource_type 8
250,resource_type 2
251,resource_type 2
252,resource_type 8
253,resource_type 8
254,resource_type 2
254,resource_type 8
255,resource_type 8
255,resource_type 2
256,resource_type 8
257,resource_type 8
258,resource_type 8
259,resource_type 2
260,resource_type 8
261,resource_type 8
261,resource_type 2
262,resource_type 8
262,resource_type 8
263,resource_type 8
263,resource_type 2
264,resource_type 8
265,resource_type 8
266,resource_type 8
267,resource_type 8
268,resource_type 8
269,resource_type 8
270,resource_type 2
271,resource_type 8
272,resource_type 2
273,resource_type 2
274,resource_type 2
275,resource_type 8
276,resource_type 2
277,resource_type 2
278,resource_type 2
279,resource_type 2
280,resource_type 2
281,resource_type 2
282,resource_type 8
283,resource_type 8
284,resource_type 8
285,resource_type 2
286,resource_type 8
287,resource_type 4
287,resource_type 8
287,resource_type 4
287,resource_type 8
288,resource_type 8
289,resource_type 2
290,resource_type 2
291,resource_type 8
292,resource_type 2
293,resource_type 2
294,resource_type 8
295,resource_type 6
296,resource_type 8
297,resource_type 8
297,resource_type 3
298,resource_type 8
299,resource_type 2
300,resource_type 8
300,resource_type 7
301,resource_type 8
301,resource_type 2
302,resource_type 2
303,resource_type 2
304,resource_type 2
305,resource_type 8
306,resource_type 2
307,resource_type 8
307,resource_type 6
307,resource_type 4
308,resource_type 8
309,resource_type 9
309,resource_type 3
309,resource_type 8
310,resource_type 8
311,resource_type 8
311,resource_type 2
311,resource_type 7
312,resource_type 8
313,resource_type 8
314,resource_type 2
315,resource_type 4
315,resource_type 8
316,resource_type 8
317,resource_type 2
318,resource_type 2
319,resource_type 8
320,resource_type 8
321,resource_type 8
321,resource_type 8
322,resource_type 8
323,resource_type 8
324,resource_type 8
325,resource_type 8
326,resource_type 2
327,resource_type 2
328,resource_type 2
329,resource_type 8
330,resource_type 2
331,resource_type 2
332,resource_type 2
333,resource_type 8
333,resource_type 6
334,resource_type 7
334,resource_type 8
335,resource_type 2
336,resource_type 8
336,resource_type 3
337,resource_type 8
338,resource_type 2
339,resource_type 8
339,resource_type 2
339,resource_type 7
339,resource_type 4
340,resource_type 8
341,resource_type 2
342,resource_type 8
343,resource_type 2
344,resource_type 2
345,resource_type 2
346,resource_type 8
347,resource_type 8
347,resource_type 2
348,resource_type 8
348,resource_type 8
349,resource_type 2
350,resource_type 8
351,resource_type 2
352,resource_type 2
353,resource_type 2
354,resource_type 2
355,resource_type 8
356,resource_type 2
357,resource_type 2
358,resource_type 8
359,resource_type 8
359,resource_type 8
360,resource_type 8
361,resource_type 2
362,resource_type 2
363,resource_type 8
364,resource_type 2
365,resource_type 8
366,resource_type 8
366,resource_type 2
366,resource_type 7
367,resource_type 8
367,resource_type 6
367,resource_type 8
367,resource_type 6
368,resource_type 2
369,resource_type 8
370,resource_type 2
371,resource_type 2
372,resource_type 8
373,resource_type 8
374,resource_type 2
375,resource_type 8
376,resource_type 8
377,resource_type 8
378,resource_type 8
379,resource_type 8
380,resource_type 2
381,resource_type 8
382,resource_type 2
383,resource_type 7
384,resource_type 2
385,resource_type 8
386,resource_type 8
387,resource_type 8
387,resource_type 2
387,resource_type 8
387,resource_type 2
388,resource_type 2
389,resource_type 8
390,resource_type 2
391,resource_type 2
392,resource_type 8
393,resource_type 2
394,resource_type 8
395,resource_type 8
396,resource_type 8
397,resource_type 8
398,resource_type 8
398,resource_type 2
399,resource_type 8
400,resource_type 8
401,resource_type 8
402,resource_type 2
403,resource_type 2
404,resource_type 2
405,resource_type 2
406,resource_type 2
406,resource_type 7
406,resource_type 8
406,resource_type 6
406,resource_type 4
407,resource_type 2
408,resource_type 2
409,resource_type 8
410,resource_type 2
411,resource_type 8
412,resource_type 6
412,resource_type 8
413,resource_type 8
413,resource_type 8
414,resource_type 8
414,resource_type 6
415,resource_type 8
416,resource_type 8
417,resource_type 8
417,resource_type 7
418,resource_type 2
419,resource_type 8
420,resource_type 8
420,resource_type 7
421,resource_type 8
422,resource_type 2
423,resource_type 8
424,resource_type 2
425,resource_type 2
426,resource_type 2
427,resource_type 2
428,resource_type 7
428,resource_type 8
429,resource_type 8
430,resource_type 8
431,resource_type 2
432,resource_type 2
433,resource_type 2
434,resource_type 2
435,resource_type 2
436,resource_type 2
437,resource_type 8
438,resource_type 8
439,resource_type 2
440,resource_type 2
441,resource_type 8
441,resource_type 8
442,resource_type 3
442,resource_type 8
443,resource_type 2
444,resource_type 2
445,resource_type 8
445,resource_type 8
446,resource_type 6
446,resource_type 8
