id,severity_type
6597,severity_type 2
8011,severity_type 2
2597,severity_type 2
5022,severity_type 1
6852,severity_type 1
5611,severity_type 2
14838,severity_type 1
2588,severity_type 1
4848,severity_type 1
6914,severity_type 1
5337,severity_type 1
10460,severity_type 1
15494,severity_type 1
10289,severity_type 1
8587,severity_type 1
12943,severity_type 1
590,severity_type 2
16416,severity_type 2
3399,severity_type 1
1505,severity_type 1
9446,severity_type 1
12482,severity_type 2
16538,severity_type 1
2250,severity_type 1
5259,severity_type 1
12751,severity_type 2
5195,severity_type 2
1233,severity_type 1
4703,severity_type 1
17508,severity_type 1
6008,severity_type 1
2906,severity_type 2
1247,severity_type 1
17909,severity_type 1
8148,severity_type 1
17595,severity_type 1
7515,severity_type 1
17041,severity_type 1
6692,severity_type 2
14595,severity_type 2
15952,severity_type 1
9664,severity_type 2
3952,severity_type 1
8461,severity_type 2
6743,severity_type 2
16097,severity_type 1
1235,severity_type 1
9317,severity_type 2
9651,severity_type 1
7832,severity_type 1
5280,severity_type 1
282,severity_type 2
4574,severity_type 1
2043,severity_type 2
6693,severity_type 1
16479,severity_type 2
7466,severity_type 1
4814,severity_type 2
10842,severity_type 2
10039,severity_type 2
4337,severity_type 2
4787,severity_type 2
16586,severity_type 1
8796,severity_type 1
6954,severity_type 2
17648,severity_type 2
1849,severity_type 2
16949,severity_type 2
14593,severity_type 2
12587,severity_type 2
2240,severity_type 1
5356,severity_type 1
1285,severity_type 2
17155,severity_type 1
1308,severity_type 2
3251,severity_type 2
9313,severity_type 1
14926,severity_type 2
17407,severity_type 2
6395,severity_type 2
16600,severity_type 2
137,severity_type 2
17255,severity_type 2
8443,severity_type 2
9291,severity_type 2
1821,severity_type 2
13270,severity_type 2
18500,severity_type 2
8774,severity_type 4
1243,severity_type 2
6474,severity_type 2
15687,severity_type 2
16351,severity_type 2
5163,severity_type 2
12650,severity_type 4
7116,severity_type 2
18189,severity_type 2
2653,severity_type 4
3331,severity_type 2
3375,severity_type 2
16056,severity_type 2
14969,severity_type 2
12825,severity_type 2
6176,severity_type 2
15850,severity_type 2
10825,severity_type 2
16628,severity_type 2
3446,severity_type 2
8716,severity_type 1
14963,severity_type 1
12318,severity_type 2
18076,severity_type 1
11833,severity_type 1
402,severity_type 1
