id,location,fault_severity
14121,location 118,1
9320,location 91,0
14394,location 152,1
8218,location 931,1
14804,location 120,0
1080,location 664,0
9731,location 640,0
15505,location 122,0
3443,location 263,1
13300,location 613,1
8976,location 760,1
7965,location 519,0
10342,location 746,0
6741,location 1066,1
7187,location 812,0
16780,location 343,0
14195,location 133,0
14025,location 976,0
8548,location 948,1
9566,location 808,0
15652,location 894,0
3931,location 875,0
4557,location 1024,0
3610,location 166,0
16574,location 687,0
7504,location 1016,1
9735,location 707,0
14048,location 978,1
6769,location 775,0
2514,location 829,0
896,location 732,0
4757,location 508,0
16358,location 257,1
11810,location 116,0
7274,location 830,1
2972,location 491,0
7392,location 253,0
6824,location 740,0
4311,location 704,2
12261,location 1089,2
14752,location 653,0
14992,location 600,2
967,location 892,2
8059,location 802,0
13406,location 794,0
11424,location 477,0
3945,location 684,2
10351,location 895,2
2272,location 496,0
10752,location 321,1
17096,location 1107,2
17314,location 1086,2
12770,location 895,1
3304,location 1099,1
9012,location 975,0
9928,location 1019,2
297,location 812,2
5751,location 342,0
17692,location 744,1
3688,location 181,0
3425,location 1086,1
7871,location 1052,1
10013,location 696,0
13832,location 1008,1
11743,location 798,1
10099,location 760,1
16682,location 777,1
10156,location 95,1
16154,location 699,0
14176,location 272,1
14964,location 704,2
12896,location 613,2
7288,location 846,2
15882,location 795,0
12441,location 826,1
17248,location 112,0
16745,location 778,0
5315,location 810,0
17118,location 895,1
7725,location 690,0
2311,location 494,0
4292,location 1095,0
15773,location 445,0
6531,location 478,0
16009,location 661,0
11930,location 380,0
8541,location 242,0
11019,location 1082,0
8274,location 181,0
722,location 1007,0
12305,location 131,1
11444,location 1007,1
4006,location 931,1
9231,location 980,1
6821,location 118,0
12888,location 373,0
6779,location 169,0
11232,location 421,0
11685,location 779,2
1318,location 690,1
909,location 59,1
18511,location 648,1
16460,location 478,0
12008,location 118,0
6811,location 124,0
16071,location 7,0
4486,location 12,0
183,location 1026,1
5729,location 270,0
15368,location 1106,0
5064,location 1090,0
11530,location 522,0
14860,location 1007,0
13166,location 836,0
14528,location 145,0
4202,location 895,1
3916,location 1020,1
11454,location 804,1
12297,location 1055,0
553,location 798,0
10390,location 1052,1
5056,location 122,0
10503,location 157,0
1835,location 802,1
